SessionID,location_label,type_label,fund_label,class_label,time_label
1354,102,1,2,1,2
1356,104,1,2,1,2
1359,101,1,1,1,2
1360,103,2,2,1,2
1361,103,2,1,1,1
1362,103,1,2,1,1
1363,103,1,1,1,2
1365,104,1,2,1,2
1366,200,1,2,1,2
1368,101,1,2,4,1
1370,104,4,1,1,2
1371,103,1,1,1,2
1373,104,3,2,8,2
1376,102,1,1,5,2
1377,103,1,2,1,1
1378,200,1,2,1,2
1380,104,1,2,1,2
1381,104,1,1,1,2
1382,104,2,1,2,2
1383,103,1,2,1,1
1386,104,1,1,8,2
1389,104,1,2,1,2
1391,102,4,2,8,2
1392,103,1,2,2,2
1393,102,4,2,8,2
1394,200,1,2,8,2
1395,102,1,2,1,2
1401,104,1,2,1,2
1402,104,1,2,1,2
1403,103,1,2,1,2
1405,200,1,2,2,2
1406,104,1,2,1,2
1408,103,2,1,2,2
1411,200,1,2,1,2
1412,200,1,2,1,2
1413,103,2,2,1,2
1417,200,1,2,1,2
1418,101,1,2,2,1
1419,103,1,1,5,2
1420,200,1,2,1,2
1421,104,1,2,1,2
1422,103,1,2,1,2
1426,102,1,2,5,2
1428,103,2,1,3,2
1429,102,1,2,1,1
1430,104,1,2,2,2
1433,103,1,2,1,2
1435,102,1,1,5,1
1437,104,2,1,1,2
1440,104,1,2,1,2
1441,102,1,2,1,1
1442,200,1,2,1,2
1443,103,1,2,8,2
1444,200,1,2,1,2
1445,104,1,2,7,1
1448,200,1,2,1,2
1449,103,1,2,1,2
1454,104,1,2,4,2
1455,103,1,2,1,2
1457,103,1,1,1,2
1458,200,1,2,1,2
1459,104,1,2,2,1
1462,103,1,2,8,1
1463,101,1,1,1,1
1464,102,1,1,1,2
1465,200,1,2,1,2
1470,104,1,2,8,2
1471,103,2,1,1,1
1475,101,2,1,2,2
1478,101,1,2,2,2
1479,103,3,2,3,2
1480,402,4,1,4,2
1481,101,1,2,3,2
1482,103,1,2,1,2
1483,103,1,2,1,2
1484,104,2,1,1,2
1485,103,1,1,1,2
1486,200,1,2,1,2
1489,102,3,2,1,2
1492,103,2,1,1,2
1493,104,2,1,1,2
1494,102,1,2,1,2
1495,103,2,1,1,1
1496,103,3,2,1,2
1497,104,1,2,5,2
1503,200,1,2,1,2
1504,104,1,1,1,2
1506,103,1,2,2,2
1507,104,1,1,1,2
1508,200,1,2,5,2
1510,104,1,2,1,2
1512,103,1,2,1,2
1513,104,1,2,1,2
1514,103,1,2,8,1
1515,104,2,1,1,2
1518,200,1,2,1,2
1519,104,1,2,1,2
1521,104,1,2,8,2
1522,104,2,1,1,2
1523,103,1,2,1,2
1524,102,1,2,8,2
1525,104,1,2,1,2
1527,200,1,2,1,2
1528,104,1,2,2,2
1529,402,1,1,1,2
1530,104,1,2,1,2
1531,103,2,1,1,1
1532,104,3,2,8,2
1533,103,2,1,1,2
1534,104,2,1,1,2
1535,103,1,1,1,2
1536,200,1,2,1,2
1537,102,1,2,1,2
1538,103,1,1,1,2
1539,104,1,2,1,2
1540,200,1,2,2,2
1541,103,1,2,5,2
1542,103,1,2,1,2
1544,103,1,2,5,2
1546,503,1,2,4,2
1547,103,1,2,1,2
1548,102,1,2,3,1
1549,101,1,1,8,2
1552,102,1,2,1,2
1553,102,1,2,1,2
1555,104,1,2,1,2
1556,501,1,2,5,2
1557,103,1,2,5,2
1558,103,2,2,1,2
1560,102,1,2,1,2
1562,104,1,2,1,2
1563,104,1,1,8,1
1564,104,2,1,1,2
1565,104,1,2,1,2
1566,102,1,1,5,2
1568,103,1,1,1,2
1569,200,1,2,1,2
1571,102,1,1,5,1
1572,200,1,2,1,2
1573,104,1,2,1,1
1574,501,1,2,2,2
1575,200,1,2,1,2
1576,102,4,2,8,2
1578,103,1,2,1,2
1579,101,1,1,1,2
1580,104,1,2,1,2
1581,101,2,1,4,2
1583,104,3,2,8,2
1586,103,1,1,1,2
1588,104,1,2,1,2
1590,104,2,1,1,2
1591,104,1,1,1,2
1593,102,1,2,1,2
1594,104,1,2,1,2
1596,200,1,2,1,2
1597,501,1,2,5,2
1599,405,1,2,1,2
1600,103,1,1,1,2
